Nom,Note,Avis,Ville,Pays,Population ville,Population et périphérie
Öz - Maitre Kebabier,4.6,23,Paris,France,2.133.111,10.890.751
Bustronome Paris,4.8,468,Paris,France,2.133.111,10.890.751
Pizzeria Arrivederci,4.9,5396,Paris,France,2.133.111,10.890.751
Da Giuseppe,4.9,1063,Paris,France,2.133.111,10.890.751
Il était un square,4.8,4527,Paris,France,2.133.111,10.890.751
Nectar,4.9,905,Paris,France,2.133.111,10.890.751
Lichette,5.0,122,Paris,France,2.133.111,10.890.751
Le Carpaccio,4.3,503,Paris,France,2.133.111,10.890.751
Origini - Ristorante Italiano,4.9,389,Paris,France,2.133.111,10.890.751
Bistro L'Olivier,4.7,1251,Paris,France,2.133.111,10.890.751
Assanabel Republic - Marsh,4.8,1408,Paris,France,2.133.111,10.890.751
Pizzamore Paris,4.9,1768,Paris,France,2.133.111,10.890.751
Boutary,4.8,1991,Paris,France,2.133.111,10.890.751
Le Maxan Restaurant,4.8,624,Paris,France,2.133.111,10.890.751
Petit Boutary,4.9,772,Paris,France,2.133.111,10.890.751
L'Angélus Du Canal,4.9,241,Paris,France,2.133.111,10.890.751
Ristorante Al Caratello,4.7,2174,Paris,France,2.133.111,10.890.751
Restaurant Al Assil,5.0,114,Paris,France,2.133.111,10.890.751
Da Franco,4.3,204,Paris,France,2.133.111,10.890.751
Restaurant Le W,4.6,846,Paris,France,2.133.111,10.890.751
Alix et Mika - Tartares sur mesure,4.8,1107,Paris,France,2.133.111,10.890.751
Les Apôtres De Pigalle,4.8,2799,Paris,France,2.133.111,10.890.751
Nirvana Inde,4.6,488,Paris,France,2.133.111,10.890.751
Le Jardin Saint Germain,4.9,131,Paris,France,2.133.111,10.890.751
Nell'Arte,4.9,622,Paris,France,2.133.111,10.890.751
B.Better,4.9,240,Paris,France,2.133.111,10.890.751
Bistrot Kinzo,4.9,294,Paris,France,2.133.111,10.890.751
Le Comptoir Boutary,4.9,509,Paris,France,2.133.111,10.890.751
Pastamore,4.8,3202,Paris,France,2.133.111,10.890.751
Perlimpinpin,4.8,889,Paris,France,2.133.111,10.890.751
Comptoir Gourmet,4.7,1336,Paris,France,2.133.111,10.890.751
La Condesa Paris,4.7,293,Paris,France,2.133.111,10.890.751
L'ARCHESTE,4.8,329,Paris,France,2.133.111,10.890.751
Madito,4.9,435,Paris,France,2.133.111,10.890.751
Gusto Italia 218,4.3,240,Paris,France,2.133.111,10.890.751
Come 'na Vorta - Pasta e Vino - Santa Dorotea,4.9,673,Rome,Italie,2.755.309,460.000
Osteria del Grillo,4.7,400,Rome,Italie,2.755.309,460.000
TAMBAYAN - Filipino Restaurant & Cocktail Bar,5.0,244,Rome,Italie,2.755.309,460.000
DOC EnoBistrot - Cruderia & Cucina,4.9,1764,Rome,Italie,2.755.309,460.000
Sentori Vineria Di Quartiere,4.9,445,Rome,Italie,2.755.309,460.000
Ristorante Arlù,4.6,3811,Rome,Italie,2.755.309,460.000
La Nicchia Cafe,4.9,320,Rome,Italie,2.755.309,460.000
Rione 13,4.7,3324,Rome,Italie,2.755.309,460.000
Lume - Osteria Alle Scalette,4.9,305,Rome,Italie,2.755.309,460.000
Sfiziarte,4.8,1571,Rome,Italie,2.755.309,460.000
Le Colonnette,4.9,215,Rome,Italie,2.755.309,460.000
Mi'ndujo - Tuscolana,4.9,842,Rome,Italie,2.755.309,460.000
Bono Bottega Nostrana - San Pietro,4.9,2038,Rome,Italie,2.755.309,460.000
Ristorante Ai Cocci,4.8,1602,Rome,Italie,2.755.309,460.000
La Fata Ignorante - Rooftop Restaurant & Bar,4.7,7095,Rome,Italie,2.755.309,460.000
Mimì E Cocò Roma,4.9,347,Rome,Italie,2.755.309,460.000
Enea Ristorante,4.9,213,Rome,Italie,2.755.309,460.000
Sistina 52,4.9,627,Rome,Italie,2.755.309,460.000
Come 'na Vorta - Pasta e Vino Torre Argentina,4.8,1568,Rome,Italie,2.755.309,460.000
Prefetti 19,4.8,1735,Rome,Italie,2.755.309,460.000
Ristorante NOA,5.0,105,Rome,Italie,2.755.309,460.000
075 Zerosettantacinque,4.5,2036,Rome,Italie,2.755.309,460.000
Cantina 65,5.0,77,Rome,Italie,2.755.309,460.000
